 to ""bowl on head"""	“碗帽”应该更名为“头上的碗”
arm belt	臂带
arm warmers	臂套
armband	臂章
armlet	臂环
armor	盔甲
armored boots	铠甲靴
armored dress	加固裙装
armored legwear	盔甲式腿部服饰
ascot	阿斯科特领巾
aviator cap	飞行帽
ayaigasa	彩绘伞
back-seamed legwear	后缝腿部服饰
backless dress	露背连衣裙
backwards hat	倒戴帽
badge	徽章
balaclava	巴拉克拉法帽
ballet slippers	芭蕾舞鞋
band uniform	乐队制服
bandana	头巾
bandeau	束胸
bangle	手镯
baseball cap	棒球帽
baseball helmet	棒球头盔
bashlik	巴什利克帽
bat legwear	蝙蝠腿部服饰
bat print	蝙蝠图案
bathrobe	浴袍
beanie	毛线帽
bear band legwear	熊形带子腿部服饰
bear costume	熊装
bear hat	熊帽
bear print	熊图案
bearskin cap	熊皮帽
bell-bottoms	喇叭裤
belly chain	腹链
belt	腰带
belt chain	腰链
beret	贝雷帽
bicorne	双角帽
bicycle helmet	自行车头盔
bike shorts	自行车短裤
bikesuit	自行车服
bikini	比基尼
bikini armor	比基尼盔甲
black dress	黑色连衣裙
black headwear	黑色头饰
blazer	西装外套
bloomers	蓬蓬裤
bloomers on head	头上的灯笼裤
blouse	女式衬衫
blue dress	蓝色连衣裙
blue headwear	蓝色头饰
blueberry print	蓝莓图案
boar costume	野猪装
boater hat	平顶草帽
bobby socks	芭比袜
bodystocking	全身袜
bodysuit	紧身衣
bonnet	童帽
book on head	头上的书
boots	靴子
boutonniere	胸花
bow legwear	蝴蝶结腿部服饰
bowler hat	硬顶圆帽
bowtie	蝴蝶结领带
boxing gloves	拳击手套
bra on head	头上的胸罩
bracelet	手镯
bridal gauntlets	新娘手套
bridal legwear	新娘腿部服饰
brodie helmet	布罗迪头盔
brooch	胸针
brown dress	棕色连衣裙
brown headwear	棕色头饰
bubble skirt	泡泡裙
bucket hat	渔夫帽
bucket on head	头上的桶
buckle	扣子
budenovka	布登诺夫卡帽
buruma	运动短裤（日本）
business suit	商务装
bustier	紧身胸衣
butterfly hat ornament	蝴蝶形帽饰
butterfly print	蝴蝶图案
button badge	纽扣徽章
buttoned cuffs	纽扣袖口
buttons	纽扣
cabbie hat	出租车司机帽
cake dress	蛋糕连衣裙
camellia print	山茶花图案
camisole	吊带衫
camouflage	迷彩
camouflage headwear	迷彩头饰
camouflage legwear	迷彩腿部服饰
campaign hat	军事竞选帽
cape	斗篷
capelet	小斗篷
capri pants	卡普里裤
cardigan	开衫
cardigan vest	马甲式开衫
cassock	教士袍
casual	休闲
cat costume	猫装
cat ear legwear	猫耳朵腿部服饰
cat hat	猫帽
chanchanko	肚兜
changpao	长袍
chaps	牛仔护腿
character hat ornament	人物帽饰
checkered	格子
checkered dress	方格连衣裙
checkered headwear	格子头饰
checkered legwear	方格腿部服饰
cheerleader	啦啦队员
chef hat	厨师帽
cherry blossom print	樱花图案
cherry print	樱桃图案
chin strap	下巴带
china dress	中国风连衣裙
china dress (cheongsam/qipao)	旗袍
chinese clothes	中国服饰
choker	紧颈项链
chrysanthemum print	菊花图案
circlet	小环冠
claw ring	爪型戒指
cloche hat	钟形帽
clog sandals	木屐凉鞋
clothing cutout	衣服镂空
clover print	三叶草图案
coat	外套
coat dress	外套式连衣裙
cocktail dress	鸡尾酒连衣裙
coif	头巾
collar	领子
collar chain	领链
collared dress	带领连衣裙
collared shirt	带领衬衫
competition swimsuit	竞赛泳衣
compression shirt	压缩衬衫
converse	帆布鞋
corsage	手腕花
corset	紧身胸衣
cosplay	角色扮演
costume	服装
cow costume	牛装
cow print	奶牛图案
cowboy boots	牛仔靴
cowboy hat	牛仔帽
cowboy western (cowboy outfit)	西部牛仔（牛仔装）
crescent hat ornament	新月形帽饰
crescent print	新月图案
crinoline	硬纱裙
criss-cross halter	交叉式挂脖
crocs	洞洞鞋
crop top	短款上衣
cropped jacket (bolero)	短款夹克（玻璃罗）
cross tie	十字领带
cross-laced footwear	交叉系带鞋
cross-laced legwear	交叉绑带腿部服饰
cross-laced sandals	交叉系带凉鞋
crown	皇冠
csibchakjnasd	中文测试
cuff links	袖扣
cutoff jeans	剪裁牛仔裤
dalachi	达拉奇帽
deerstalker	猎鹿帽
denim dress	牛仔连衣裙
denim shorts	牛仔短裤
detached leggings (more like footless thighhighs)	分离式打底裤（更像是无脚大腿高袜）
detached pants	分体裤
detached sleeves	分离袖子
deviruchi hat	德维鲁奇帽
diadem	冕
diagonal-striped legwear	斜条纹腿部服饰
dirndl	德国民族服饰
dirty legwear	脏腿部服饰
diving helmet	潜水头盔
dixie cup hat	水手帽
dog costume	狗装
dog hat	狗帽
dolphin hat ornament	海豚形帽饰
dolphin shorts	海豚短裤
dotera	道袍
double vertical stripe	双竖条纹
dragoon helmet	龙骑兵头盔
dress (see tag group:dress)	连衣裙（见标签组：连衣裙）
dress flip	连衣裙翻转
dress flower	裙上花纹
dress grab	抓住连衣裙
dress lift	提起连衣裙
dress pull	拉连衣裙
dress shirt	正式衬衫
dress shoes	正装鞋
dress tug	牵连衣裙
duffel coat	达菲大衣
dunce cap	笨蛋帽
earclip	耳夹
earrings	耳环
eggshell hat	蛋壳帽
elbow gloves	长手套
engdjwfh	测试1234
engine	引擎
epaulettes	肩章
evening gown	晚礼服
fascinator	轻巧帽
fashion	时尚
feather boa	羽毛围巾
female service cap	女性制服帽
fengguan	凤冠
fez hat	费兹帽
field cap	野战帽
fingerless gloves	无指手套
fingernails	指甲
fishbowl helmet	鱼缸头盔
fishnet legwear	鱼网腿部服饰
flag dress	国旗连衣裙
flat cap	平顶帽
flat top chef hat	平顶厨师帽
flats	平底鞋
flip-flops	人字拖
floral print	花卉图案
flower trim	花边装饰
flowing dress	飘逸连衣裙
fluffy legwear	蓬松腿部服饰
food on head	头上的食物
food print	食物图案
food-themed hat ornament	食物主题帽饰
footwear ribbon	鞋带
forehead protector	额头保护带
formal	正装
fox hat	狐狸帽
frilled dress	褶边连衣裙
frilled hat	褶边帽
frilled legwear	褶边腿部服饰
frilled shirt	荷叶边衬衫
frills	褶边
front-seamed legwear	前缝腿部服饰
fruit hat ornament	水果帽饰
fruit pattern	水果图案
fundoshi	褌
funeral dress	葬礼连衣裙
fur coat	皮草大衣
fur hat	毛皮帽
fur trim	毛皮边
fur-trimmed coat	皮草镶边大衣
fur-trimmed legwear	毛皮镶边腿部服饰
fur-trimmed_dress	毛皮镶边连衣裙
furisode	振袖
gakuran	学生装（日式）
garrison cap	营房帽
garter belt	吊袜带
garter straps	吊袜带带子
gat korean traditional hat	韩国传统帽（加特帽）
gathers	聚拢装饰
gear hat ornament	齿轮帽饰
geta	下駄（日式木屐）
ghost costume	鬼魂服装
gingham	格子布
gingham legwear	格子纹腿部服饰
gladiator sandals	罗马凉鞋
glasses (see tag group:eyewear)	眼镜
gloves	手套
gold trim	金色边条
gown	礼服
gradient legwear	渐变色腿部服饰
grape hat ornament	葡萄帽饰
green dress	绿色连衣裙
green headwear	绿色头饰
grey dress	灰色连衣裙
grey headwear	灰色头饰
gym shorts	运动短裤
gym uniform	校服运动装
habit	修女服
hachimaki	日式头巾
hair beads	发珠
hair bobbles	发圈
hair bow	发饰蝴蝶结
hair ornament	发饰
hair ribbon	发带
hair scrunchie	发圈
hair stick	发簪
hairband	发箍
hairclip	发夹
hairpin	发簪
hakama	袴
hakama pants	袴裤
hakama short skirt	短裙袴
hakama skirt	袴裙
half-dress	半身连衣裙
halter dress	露背颈挂带连衣裙
halterneck	挂脖领
hanbok	韩服
hand on headwear	手在头饰上
hands on headwear	双手在头饰上
hanfu	汉服
hanten	半纱
haori	羽织
happi	法被
hard hat	安全帽
harem outfit	哈伦装
hat	帽子
hat basket	帽篮
hat bow	帽子蝴蝶结
hat feather	帽子羽毛
hat flower	帽子花
hat loss	丢帽
hat on chest	胸前的帽子
hat ornament	帽饰
hat over eyes	遮眼的帽子
hat over one eye	遮住一只眼的帽子
hat ribbon	帽带
hat tip	帽子的尖端
hat with ears	带耳朵的帽子
hazmat suit	防化服
head scarf	头巾
headband	头带
headdress	头饰
headlamp	头灯
heart hat ornament	心形帽饰
helm	头盔
helmet	头盔
hennin	尖顶女帽
hev suit	高效防护服
high heel boots	高跟靴
high heels	高跟鞋
high tops	高帮鞋
high-low skirt	高低裙
high-waist skirt	高腰裙
highleg dress	高腰连衣裙
hijab	希贾布
hobble dress	紧身连衣裙
holding hat	持帽
holding helmet	持头盔
holding legwear	握住腿部服饰
holly hat ornament	冬青帽饰
honggaitou	宽边帽
hood	头巾
hoodie	连帽衫
hoop earrings	圆环耳环
horn band legwear	角形带子腿部服饰
horned helmet	角头盔
houndstooth	犬牙纹
ichimegasa	一枚笠
impossible dress	不可能的连衣裙
in legwear	穿着腿部服饰
jack-o'-lantern hat ornament	南瓜灯帽饰
jacket	夹克
jammers	抗拒水裤
japanese clothes	日本服饰
jeans	牛仔裤
jester cap	小丑帽
jingasa	甲冑帽
jumpsuit	连体衣
kabuto	武士头盔
kanzashi	簪子
keffiyeh	阿拉伯头巾
kepi	凯皮帽
kesa	和尚袈裟
kettle helm	壶盔
kigurumi	动物连体服
kilt	苏格兰裙
kiltie loafers	带流苏的休闲鞋
kimono	和服
kimono skirt	和服裙
kippah	犹太小帽
kiwi print	猕猴桃图案
knee boots	膝盖靴
kneehighs	高至膝盖的袜子
kneehighs (covers the feet and legs up to the knees)	高膝袜（覆盖脚部至膝盖）
knit legwear	针织腿部服饰
korean clothes	韩式服装
lace legwear	蕾丝腿部服饰
lace trim	蕾丝边
lace-trimmed dress	蕾丝镶边连衣裙
lace-trimmed legwear	蕾丝镶边腿部服饰
lace-up boots	系带靴
lace-up legwear	系带腿部服饰
lapel pin	翻领别针
lapels	翻领
large buttons	大号纽扣
latex dress	乳胶连衣裙
latex legwear	乳胶腿部服饰
layered dress	层叠连衣裙
layered kimono	层叠和服
layered legwear	层叠腿部服饰
leaf bikini	叶子比基尼
leaf hat ornament	叶形帽饰
leaf print	叶子图案
leg belt	腿带
leg warmers	护腿
leggings	紧身裤
leggings (like pantyhose, but doesn't cover the feet)	打底裤（类似连裤袜，但不覆盖脚部）
legskin	腿部泳装
legwear bell	腿部铃铛
legwear garter	腿部穿着吊袜带
legwear past ankles	超过脚踝的腿部服饰
lemon print	柠檬图案
leopard print	豹纹
leotard	体操服
letterman jacket	校队夹克
lily print	百合图案
loafers	休闲鞋
loincloth	丁字裤
lolita fashion	洛丽塔时装
long coat	长大衣
long dress	长连衣裙
long skirt	长裙
longpao	龙袍
loose socks	松散袜
lowleg bikini	低腰比基尼
lowleg pants	低腰裤
lowleg shorts	低腰短裤
lowleg skirt	低腰裙
maid	女仆
maid headdress	女仆头饰
maple leaf print	枫叶图案
mary janes	玛丽珍鞋
mask	面具
meiji schoolgirl uniform	明治时代学生服
mermaid dress	美人鱼连衣裙
mian guan	冕冠
micro bikini	微型比基尼
micro shorts	微型短裤
microskirt	微型裙
miko	巫女
military hat	军帽
military uniform	军装
mini crown	迷你王冠
mini hat	迷你帽
mini santa hat	迷你圣诞老人帽
mini top hat	迷你高顶帽
mini witch hat	迷你巫师帽
miniskirt	迷你裙
mino boushi	蓑衣帽
mismatched legwear	不匹配的腿部服饰
mitre	主教冠
mittens	连指手套
mob cap	民众帽
mongkhon	泰拳头带
monk shoes	僧侣鞋
monkey costume	猴装
monocle	单片眼镜
moon print	月亮图案
morning glory print	牵牛花图案
mortarboard collage graduation hat	学士帽
motorcycle helmet	摩托车头盔
mouse costume	老鼠装
multicolored dress	多彩连衣裙
multicolored headwear	多彩头饰
multicolored legwear	多色腿部服饰
multicolored stripes	彩色条纹
musical note print	音符图案
native american headdress	美洲原住民头饰
neck ribbon	颈带
neck ruff	脖围
neckerchief	颈巾
necklace	项链
necktie	领带
negligee	蕾丝睡衣
nejiri hachimaki	扭曲头巾
nightcap	睡帽
nightgown	睡裙
no headwear	无头饰
no legwear	无腿部服饰
nontraditional miko	非传统巫女
nurse cap	护士帽
o-ring legwear	O型环腿部服饰
object on head	头上物品
off-shoulder dress	露肩连衣裙
off-shoulder shirt	露肩衬衫
okobo	高底下駄
okosozukin	欧克索兹金帽
open dress	敞开的连衣裙
open robe	开襟长袍
orange dress	橙色连衣裙
orange headwear	橙色头饰
orange print	橙子图案
over-kneehighs	超过膝盖的袜子
over-kneehighs (covers the leg from the foot up to just above the knees)	超高膝袜（覆盖脚部至膝盖以上）
overall skirt	工装裙
overalls	工装裤
overcoat	大衣
oxfords	牛津鞋
pajamas	睡衣
palette hat ornament	调色板帽饰
panda costume	熊猫装
pant suit	裤装套装
panties on head	头上的内裤
pants	裤子
pants rolled up	卷边裤
pantyhose	连裤袜
pantyhose (covers from the waist to the toes)	连裤袜（覆盖从腰部到脚趾）
pantyhose under shorts	短裤下的连裤袜
papakha	帕帕哈帽
party hat	派对帽
paw print	爪印图案
peach hat ornament	桃子帽饰
peacoat	双排扣大衣
peaked cap	军用便帽
pelt	皮毛帽
pelvic curtain	腰围布
pencil dress	铅笔裙
penguin costume	企鹅装
penguin hat	企鹅帽
pentacle	五角星形
peony print	牡丹图案
petal print	花瓣图案
petticoat	衬裙
piano print	钢琴图案
piercing (see tag group:piercings)	穿孔
pig costume	猪装
pillbox hat	药盒帽
pilot helmet	飞行员头盔
pilot suit	飞行员服装
pinafore dress	围裙式连衣裙
pineapple print	菠萝图案
pink dress	粉色连衣裙
pink headwear	粉色头饰
pinstripe dress	细条纹连衣裙
pinstripe legwear	细条纹腿部服饰
pinstripe pattern	条纹图案
pirate hat	海盗帽
pith helmet	硬质头盔
plague doctor mask	瘟疫医生面具
plaid / tartan	格子/苏格兰格
plaid dress	格子连衣裙
plaid legwear	格子腿部服饰
plaid skirt (tartan/kilt skirt)	格子裙（苏格兰/苏格兰裙）
platform footwear	厚底鞋
playboy bunny	兔女郎
pleated dress	百褶连衣裙
pleated legwear	百褶腿部服饰
pleated skirt	百褶裙
plugsuit	插头服
plum blossom print	梅花图案
plunging neckline	深V领连衣裙
pocket watch	口袋表
pointy footwear	尖头鞋
police hat	警帽
polka dot	波点
polka dot dress	波点连衣裙
polka dot legwear	波点腿部服饰
poncho	斗篷
porkpie hat	波克派帽
print dress	印花连衣裙
print headwear	印花头饰
print legwear	印花腿部服饰
pulling off legwear	脱下腿部服饰
pullover	套头衫
pumpkin hat	南瓜帽
pumpkin hat ornament	南瓜帽饰
pumps	低跟鞋
purple dress	紫色连衣裙
purple headwear	紫色头饰
putting on headwear	戴头饰
putting on legwear	穿上腿部服饰
qing guanmao	清代官帽
rabbit costume	兔装
rabbit ear legwear	兔耳朵腿部服饰
rabbit hat	兔帽
racing suit	赛车服
raglan sleeves (see tag group:sleeves)	拉根袖（见标签组：袖子）
rainbow legwear	彩虹腿部服饰
raincoat	雨衣
rash guard	防晒泳装
red dress	红色连衣裙
red headwear	红色头饰
reindeer costume	驯鹿装
removing helmet	取下头盔
removing legwear	移除腿部服饰
ribbed dress	条纹连衣裙
ribbed legwear	条纹腿部服饰
ribbed sweater	羊毛衫
ribbon legwear	丝带腿部服饰
ribbon trim	缎带装饰
ribbon-trimmed legwear	丝带镶边腿部服饰
ribbon-trimmed_dress	丝带镶边连衣裙
rice hat	稻草帽
ring	戒指
robe	长袍
rogatywka Polish four-pointed military cap	罗加提夫卡（波兰四角军帽）
romper	连体衣裤
roningasa	浪人帽
rose print	玫瑰图案
rubber boots	橡胶靴
saddle shoes	鞍座鞋
safari jacket	狩猎夹克
sailor (naval uniform)	水手（海军制服）
sailor dress	水手裙
sailor hat	水手帽
saishi	赛师冠
sajkaca	塞尔维亚传统帽
sallet	沙莱特头盔
sam browne belt	萨姆布朗腰带
sandals	凉鞋
sandogasa	三斗笠
santa costume	圣诞老人服装
santa dress	圣诞连衣裙
santa hat	圣诞老人帽
sarashi	绑带
sarong	沙龙裙
sash	腰带
scarf	围巾
school hat	校帽
school swimsuit	学校泳衣
school uniform	校服
seal costume	海豹装
seamed legwear	接缝腿部服饰
see-through	透视
see-through dress	透视连衣裙
see-through legwear	透视腿部服饰
see-through leotard	透视体操服
sepia dress	棕褐色连衣裙
serafuku (sailor uniform)	水手服（校服）
shako cap marching band hat	夏科帽（军乐队帽）
shampoo hat	洗发帽
shawl	披肩
sheep costume	羊装
shiny legwear	闪亮腿部服饰
shirt	衬衫
shoes	鞋子
short dress	短连衣裙
short jumpsuit	短款连体衣
short kimono	短和服
short shorts	极短裤
shorts	短裤
shorts under skirt	裙下短裤
shosei	学生（日式）
shoulder sash	肩腰带
shower cap	淋浴帽
shrug	短款披肩
shufa guan	书法冠
side cape	侧斗篷
side slit	侧开叉
side-seamed legwear	侧缝腿部服饰
side-tie bikini bottom	侧系带比基尼底部
side-tie legwear	侧绑腿部服饰
sideways hat	斜戴帽
silver trim	银色边条
skirt	裙子
skirt basket	裙篮
skirt suit	裙装套装
skull hat ornament	骷髅帽饰
sleeveless dress	无袖连衣裙
sleeveless shirt	无袖衬衫
sleeveless turtleneck	无袖高领衫
slingshot swimsuit	弹弓式泳衣
slippers	拖鞋
snake print	蛇纹
sneakers	运动鞋
socks	袜子
sombrero	墨西哥宽边帽
songkok	马来帽
space helmet	太空头盔
space print	太空图案
sparkle print	闪光图案
spider lily print	彼岸花图案
spiked bracelet	尖刺手镯
spiked gloves	带刺手套
spiked legwear	带刺腿部服饰
sports bikini	运动比基尼
spurs	马刺
star hat ornament	星形帽饰
star print	星星图案
starry sky print	星空图案
stirrup legwear	马镫腿部服饰
stole	披肩
strapless dress	无肩带连衣裙
strapless leotard	无肩带体操服
straw cape (mino)	稻草斗篷（蓑衣）
straw hat	草帽
strawberry print	草莓图案
string bikini	绳结比基尼
stringer	运动背心
striped	条纹
striped dress	条纹连衣裙
striped legwear	条纹腿部服饰
striped shirt	条纹衬衫
stud earrings	钉耳环
studded legwear	镶钉腿部服饰
suit	西装
suit jacket	西装上衣
sukajan	日式绣花夹克
sun hat	阳光帽
sundress	夏日连衣裙
sunflower print	向日葵图案
surcoat	外套
surgical mask	医用口罩
suspender skirt	吊带裙
suspenders	吊带
sweatband	汗带
sweater	毛衣
sweater dress	毛衣裙
sweater vest	毛衣马甲
sweatpants	运动裤
swim briefs (speedo)	游泳短裤（速比涛）
swimsuit	泳衣
t-shirt	T恤
tabard	外套
tabi	足袋
tailcoat	燕尾服
tam o' shanter	苏格兰休闲帽
tangzhuang	唐装
tank helmet	坦克头盔
tank top	背心
tankini	坦克式比基尼
tassel	流苏
tassel hat ornament	流苏帽饰
tasuki	襷
tate eboshi	立烏帽
taut dress	紧身连衣裙
taut legwear	紧身腿部服饰
taut shirt	紧身衬衫
tennis dress	网球裙
test3	测试
testWord	测试用词汇
testword2	第二个测试用词汇
testword3291	测试
thigh boots	大腿靴
thigh strap	大腿带
thighband pantyhose	大腿带连裤袜
thighhighs	大腿袜
thighhighs (covers the leg from the foot up to the mid-thighs)	大腿高袜（覆盖脚部至大腿中部）
thighlet	大腿带
thong bikini	丁字比基尼
tiara	冠冕
tie clip	领带夹
tied dress	系着的连衣裙
tiger costume	老虎装
tiger print	虎纹
tilted headwear	倾斜的头饰
toe socks	分趾袜
toeless footwear	露趾鞋
toeless legwear	无趾腿部服饰
tokin hat	托金帽
top hat	高顶帽
toque blanche	白色厨师帽
torioigasa	鸟追伞
torn clothes	破损衣物
torn dress	破连衣裙
torn hat	破帽
torn legwear	破腿部服饰
track suit	运动服
traffic cone on head	头上的交通锥
transparent raincoat	透明雨衣
trapeze dress	高飞跳连衣裙
trench coat	风衣
triangle print	三角形图案
tricorne	三角帽
trimmed legwear	镶边腿部服饰
tsunokakushi	婚礼头纱
tube dress	管状连衣裙
tube socks	筒袜
tube top	管状上衣
tunic	束腰外衣
turtleneck	高领衫
tutu	芭蕾舞裙
tuxedo	礼服
two-tone dress	双色连衣裙
two-tone legwear	双色腿部服饰
uchikake (wedding kimono)	打掛（婚礼和服）
underbust	下胸衣
uneven legwear	不均匀腿部服饰
unitard	紧身连体衣
unworn hat	未戴帽
unworn headwear	未戴的头饰
unworn helmet	未戴的头盔
unworn legwear	未穿腿部服饰
ushanka	毛皮耳帽
uwabaki	上履（日式室内鞋）
veil	面纱
venus bikini	维纳斯比基尼
vertical-striped dress	竖条纹连衣裙
vertical-striped legwear	竖条纹腿部服饰
vest	马甲
vietnamese dress	越南服装
visor cap	遮阳帽
waistcoat	背心
waitress	服务员
waraji	草鞋
warbonnet	战帽
watch	手表
watermelon print	西瓜图案
wave print	波浪图案
wedding dress	婚纱
wedding ring	结婚戒指
wedge heels	楔形高跟鞋
wet dress	湿连衣裙
wet legwear	湿腿部服饰
white dress	白色连衣裙
white headwear	白色头饰
wide sleeves	宽袖
wing print	翅膀图案
winged footwear	带翅膀的鞋
winged helmet	翼头盔
winter coat	冬季大衣
witch hat	巫师帽
wizard hat	巫师帽
wolf hat	狼帽
work boots	工作靴
wrist cuffs	手腕袖口
wrist scrunchie	手腕皱褶带
wristband	手腕带
yamakasa	山笠
yellow dress	黄色连衣裙
yellow headwear	黄色头饰
yellow raincoat	黄色雨衣
yoga pants	瑜伽裤
yugake	弓手套（日式）
yukata	浴衣
zipper	拉链
zipper legwear	拉链腿部服饰
zouri	草履
