crown	王冠
torn hat	破帽
no headwear	无头饰
putting on headwear	戴头饰
removing helmet	取下头盔
tilted headwear	倾斜的头饰
Accessories	配饰
chin strap	下巴带
hat bow	帽子蝴蝶结
hat feather	帽子羽毛
hat flower	帽子花
hat ornament	帽饰
anchor hat ornament	锚形帽饰
butterfly hat ornament	蝴蝶形帽饰
character hat ornament	人物帽饰
crescent hat ornament	新月形帽饰
dolphin hat ornament	海豚形帽饰
food-themed hat ornament	食物主题帽饰
fruit hat ornament	水果帽饰
grape hat ornament	葡萄帽饰
peach hat ornament	桃子帽饰
pumpkin hat ornament	南瓜帽饰
gear hat ornament	齿轮帽饰
heart hat ornament	心形帽饰
holly hat ornament	冬青帽饰
jack-o'-lantern hat ornament	南瓜灯帽饰
leaf hat ornament	叶形帽饰
palette hat ornament	调色板帽饰
star hat ornament	星形帽饰
skull hat ornament	骷髅帽饰
tassel hat ornament	流苏帽饰
hat ribbon	帽带
hat with ears	带耳朵的帽子
Not headwear	非头饰
hair bow	发饰
hair ribbon	发带
hairband	发带
headband	头带
forehead protector	额头保护器
sweatband	汗带
hachimaki	额带
nejiri hachimaki	扭曲头巾
mongkhon	蒙空（泰拳头带）
headdress	头饰
maid headdress	女仆头饰
native american headdress	美洲原住民头饰
warbonnet	战帽
veil	面纱
